# Modelo: Navier-Stokes 2D Completo | Re: 1500.00 | Pr: 0.70
x,u_central,du_central_dx,du_dy_wall,T_central,dT_central_dx,dT_dy_wall,p_central,T_bulk,dT_bulk_dx
8.200000000000001,1.4070772490053238,-0.006206303881027608,54.73435804345452,0.6614347354567305,0.05118106621335006,-9.688531954610724,4.581654021478612,0.7430086557246617,0.03885496260884613
8.4,1.4058364075072227,-0.006199416907860744,54.68914288238499,0.6715218146635349,0.049710606028272375,-9.399709436341663,4.552671509286375,0.7506666537967055,0.03774061320148103
8.6,1.4045974822421796,-0.0061875843878542724,54.6445334413739,0.6813189778680393,0.04828130204788339,-9.119170737678372,4.523701101511354,0.758104901005254,0.036657041485480324
8.8,1.4033613737520811,-0.0061716179050774755,54.60047349841988,0.6908343354826882,0.04689196921739969,-8.846687226299387,4.494742190604228,0.7653294703908976,0.035603432493682474
9.0,1.4021288350801486,-0.006152191063376833,54.556916606280836,0.7000757655549992,0.045541467256362544,-8.582036415738402,4.465794249932112,0.7723462740027269,0.034578991318809926
9.200000000000001,1.4009004973267305,-0.0061298620639109735,54.513824649077506,0.7090509223852333,0.04422869745358837,-8.3250017648282,4.436856817148043,0.7791610669184217,0.03358294278413232
9.4,1.3996768902545842,-0.006105093961688901,54.47116627559162,0.7177672445364345,0.042952599775515576,-8.075372498259291,4.407929484678658,0.7857794511163799,0.03261453096962219
9.600000000000001,1.398458459742055,-0.006078270549648934,54.42891582515549,0.7262319622954394,0.04171215027339081,-7.832943443548457,4.37901188920221,0.7922068793062705,0.031673018858166646
9.8,1.3972455820347247,-0.006049710092164151,54.387052297348326,0.7344521046457908,0.040506358776322804,-7.597514879328249,4.350103704544902,0.7984486586596465,0.03075768793018696
10.0,1.3960385757051894,-0.006019676361645132,54.34555858308904,0.7424345058059685,0.039334266842519616,-7.3688923924516425,4.321204634806176,0.8045099544783453,0.029867837800019004
10.200000000000001,1.3948377114900665,-0.005988388009253942,54.30442077503312,0.7501858113827987,0.038194945943073266,-7.146886741553559,4.292314409280055,0.8103957937796542,0.02900278583264404
10.4,1.3936432205014877,-0.005956026216030974,54.263627628602855,0.7577124841831978,0.03708749584945026,-6.931313725810351,4.263432777878867,0.8161110688114029,0.028161866774099487
10.600000000000001,1.3924553010036542,-0.005922741133373766,54.22317009573608,0.7650208097225788,0.036011043198998616,-6.721994057823255,4.234559507576744,0.8216605404892939,0.027344432374219352
10.8,1.391274124048138,-0.005888657186036816,54.183040950753586,0.7721169014627973,0.03496474021398588,-6.518753240038588,4.2056943793226464,0.8270488417610906,0.02654985101421259
11.0,1.3900998381292395,-0.005853877506346361,54.143234472774445,0.7790067058081731,0.03394776355300633,-6.321421444237029,4.176837185570826,0.8322804808949789,0.02577750733230255
11.200000000000001,1.3889325730455997,-0.0058184875933871005,54.10374618704047,0.7856960068839998,0.03295931327594026,-6.129833393837602,4.147987728180247,0.8373598446940117,0.025026801852699787
11.4,1.3877724430918847,-0.0057825583555395355,54.06457264760689,0.7921904311185491,0.03199861190634934,-5.943828248824389,4.119145816708597,0.8422912016360589,0.024297150616167773
11.600000000000001,1.3866195497033837,-0.005746148622541636,54.025711259070455,0.7984954516465396,0.031064903577372904,-5.763249493191958,4.090311266978942,0.8470787049404789,0.023587984814688046
11.8,1.385473983642868,-0.005709307229774474,53.98716012778118,0.8046163925494983,0.030157453249228583,-5.587944824837376,4.061483899906491,0.8517263955619341,0.02289875043005818
12.0,1.384335826811474,-0.005672074741459365,53.94891793933955,0.810558432946231,0.02927554598814064,-5.417766047850769,4.032663540520793,0.8562382051125021,0.02222890787769627
12.200000000000001,1.3832051537462844,-0.0056344848800722325,53.9109838567422,0.8163266109447546,0.028418486298064316,-5.252568967174742,4.003850017161354,0.8606179587130126,0.021577931655832217
12.4,1.382082032859445,-0.005596565708942514,53.87335743631983,0.8219258274654568,0.02758559749788514,-5.092213285607105,3.975043160810461,0.8648693777748351,0.020945310000781703
12.600000000000001,1.3809665274627074,-0.0055583406120716106,53.836038558012675,0.8273608499439086,0.026776221137934986,-4.936562503128294,3.946242804542935,0.8689960827133253,0.020330544548477825
12.8,1.3798586966146162,-0.005519829104232876,53.79902736771537,0.8326363159206309,0.025989716450648626,-4.785483818527891,3.917448783070762,0.8730015955942262,0.0197331500025979
13.0,1.3787585958210142,-0.005481047500624392,53.76232422956017,0.8377567365241679,0.02522545983099489,-4.638848033312326,3.8886609323681376,0.8768893427143644,0.019152653809432874
13.200000000000001,1.3776662776143664,-0.005442009470602471,53.72592968647486,0.8427264998530288,0.024482844343049592,-4.496529457866216,3.8598790893613684,0.8806626571179993,0.018588595839577504
13.4,1.3765817920327732,-0.005402726494905252,53.689844427530886,0.8475498742613877,0.02376127924961935,-4.358405819841093,3.831103091674478,0.8843247810501954,0.018040528076503026
13.600000000000001,1.3755051870164043,-0.005363208243191586,53.65406926104338,0.8522310115528766,0.023060189562358335,-4.224358174739873,3.8023327774196978,0.8878788683486005,0.017508014312017206
13.8,1.3744365087354966,-0.005323462886037689,53.618605092351416,0.8567739500863311,0.022379015610199282,-4.094270818667312,3.7735679850256028,0.8913279867750025,0.016990629848561145
14.0,1.3733758018619893,-0.005283497352507549,53.58345290552356,0.8611826177969564,0.021717212624284166,-3.968031203207767,3.7448085530969273,0.894675120288025,0.016487961208288215
14.200000000000001,1.3723231097944937,-0.005243317543789594,53.54861374835139,0.8654608351360448,0.021074250337863365,-3.8455298523981107,3.7160543202994685,0.8979231712583178,0.01599960584881588
14.4,1.3712784748444733,-0.005202928510485538,53.514088719980265,0.8696123179321018,0.020449612599876765,-3.72666028175328,3.6873051252667173,0.9010749626275514,0.015525171885588218
14.600000000000001,1.3702419383902995,-0.005162334600836704,53.47987896084297,0.8736406801759955,0.01984279700113145,-3.6113189193081596,3.6585608065232607,0.9041332400125531,0.01506427782076658
14.8,1.3692135410041386,-0.005121539585341672,53.44598564432171,0.8775494367325544,0.019253314512183817,-3.4994050286331624,3.629821202421614,0.9071006737558579,0.014616552278456485
15.0,1.3681933225561629,-0.005080546761540461,53.41240996991334,0.8813420059808689,0.018680689132133832,-3.3908206337834312,3.6010861510902803,0.9099798609239357,0.014181633746281008
15.200000000000001,1.3671813222995224,-0.0050393590424078205,53.379153157521635,0.8850217123854078,0.01812445754769998,-3.28547044613986,3.5723554903893673,0.9127733272543702,0.013759170323107028
15.4,1.3661775789391999,-0.0049979790295631155,53.346216442633484,0.8885917889999491,0.017584168802009525,-3.1832617931019103,3.543629057873853,0.9154835290531785,0.013348819472853268
15.600000000000001,1.365182130687697,-0.004956409073364476,53.31360107228259,0.8920553799062116,0.01705938397261475,-3.0841045485890395,3.514906690761615,0.9181128550435114,0.012950247784261126
