x,y,u,v,p,T
20.5,0.0,0.0,0.0,0.0677463507227918,1.0
20.625,0.0,0.0,0.0,0.06580069491435794,1.0
20.75,0.0,0.0,0.0,0.0638589242611827,1.0
20.875,0.0,0.0,0.0,0.06192100140742526,1.0
21.0,0.0,0.0,0.0,0.05998688960901786,1.0
21.125,0.0,0.0,0.0,0.058056552465844034,1.0
21.25,0.0,0.0,0.0,0.0561299543160357,1.0
21.375,0.0,0.0,0.0,0.054207059584513835,1.0
21.5,0.0,0.0,0.0,0.05228783378522793,1.0
21.625,0.0,0.0,0.0,0.050372241910501624,1.0
21.75,0.0,0.0,0.0,0.04846025095064481,1.0
21.875,0.0,0.0,0.0,0.04655182588688029,1.0
22.0,0.0,0.0,0.0,0.04464693599931465,1.0
22.125,0.0,0.0,0.0,0.04274554487447153,1.0
22.25,0.0,0.0,0.0,0.040847626173117664,1.0
22.375,0.0,0.0,0.0,0.03895313868770601,1.0
22.5,0.0,0.0,0.0,0.03706206574073153,1.0
22.625,0.0,0.0,0.0,0.03517435288120729,1.0
22.75,0.0,0.0,0.0,0.03329000636594779,1.0
22.875,0.0,0.0,0.0,0.03140893735620056,1.0
23.0,0.0,0.0,0.0,0.029531208450380965,1.0
23.125,0.0,0.0,0.0,0.02765664309752794,1.0
23.25,0.0,0.0,0.0,0.025785445001006428,1.0
23.375,0.0,0.0,0.0,0.023917213511758514,1.0
23.5,0.0,0.0,0.0,0.022052512621066767,1.0
23.625,0.0,0.0,0.0,0.02019035872558939,1.0
23.75,0.0,0.0,0.0,0.01833226557355748,1.0
23.875,0.0,0.0,0.0,0.016475669313076764,1.0
24.0,0.0,0.0,0.0,0.014624738396770294,1.0
24.125,0.0,0.0,0.0,0.012772287468689554,1.0
24.25,0.0,0.0,0.0,0.010930656433603095,1.0
24.375,0.0,0.0,0.0,0.00907753535821803,1.0
24.5,0.0,0.0,0.0,0.007253671347164728,1.0
24.625,0.0,0.0,0.0,0.005381315264314575,1.0
24.75,0.0,0.0,0.0,0.003608170702132038,1.0
24.875,0.0,0.0,0.0,0.0016516175016081523,1.0
25.0,0.0,0.0,0.0,0.0,1.0
0.0,0.02,1.0,0.0,0.7092612681710098,0.0
0.125,0.02,0.6548147000827619,0.041999871932826685,0.7092612681710098,0.4043741010232286
0.25,0.02,0.5279240949030897,0.021719771222202155,0.566641862138771,0.5850432336777954
0.375,0.02,0.41882791204873787,0.01163259041744851,0.5602800503493,0.6753815700956581
0.5,0.02,0.3689024873993804,0.005660375615230257,0.5330142496901821,0.7205713878425152
0.625,0.02,0.32970159567346424,0.0034230955146919225,0.5290435971898276,0.7488303357510878
0.75,0.02,0.3072137749232471,0.0021408561555595054,0.5180851531002701,0.7680401312301239
0.875,0.02,0.2886288949778956,0.0015984767429018908,0.5125086505996861,0.7828140005346336
1.0,0.02,0.27558002139378296,0.0012177630219974305,0.5049222917318683,0.7945176109660581
1.125,0.02,0.26439937029701027,0.0010099052585282877,0.4989336841502871,0.8042550813291033
1.25,0.02,0.2554934103675903,0.000844239122920685,0.4924970672519069,0.8124757388055543
1.375,0.02,0.2476861839863073,0.0007333662370080829,0.48667224764868877,0.8195872350628818
1.5,0.02,0.24102436924392942,0.000641208700439278,0.4808491823033936,0.8258067859095712
1.625,0.02,0.23508237487842576,0.000571362563774219,0.4753367734113772,0.8313241039752505
1.75,0.02,0.2298205696754344,0.0005121661509784037,0.46994026240190895,0.8362600450885742
1.875,0.02,0.22506174707536544,0.00046396307055283985,0.46474484171777275,0.8407165964533537
2.0,0.02,0.22075679245469493,0.00042248398421539633,0.45968183348603664,0.8447668688899544
2.125,0.02,0.21681936309485175,0.0003872910478197522,0.4547699930242531,0.848471813481156
2.25,0.02,0.21320853456090222,0.00035659848880427594,0.44998095890004275,0.8518785138928983
2.375,0.02,0.20987550862546223,0.00032990462298702493,0.4453145135005683,0.8550263024575604
2.5,0.02,0.20678921851434262,0.00030634528693694656,0.44075624987224316,0.8579470116819463
2.625,0.02,0.20391870597059839,0.0002855159883917136,0.4363012586290531,0.8606674716127629
2.75,0.02,0.20124088937068915,0.00026693811367010467,0.43194061860250493,0.863210059024787
2.875,0.02,0.19873451200714812,0.00025031397248101005,0.4276688867158986,0.8655938507134447
3.0,0.02,0.1963823611464787,0.00023534924045702163,0.4234797139200617,0.8678350905059717
3.125,0.02,0.1941690623872345,0.00022183013922645546,0.41936820679621495,0.8699477892135571
3.25,0.02,0.19208160859214868,0.00020956204307473862,0.4153294700488606,0.8719440622279013
3.375,0.02,0.1901084794733191,0.00019839132703569826,0.41135933712989964,0.8738344743610678
3.5,0.02,0.18823968462105745,0.0001881828215513488,0.40745386568204056,0.8756282731678857
3.625,0.02,0.18646636594170576,0.0001788248839161443,0.40360955035510054,0.8773336026593705
3.75,0.02,0.18478072240772037,0.00017022034536859088,0.399823135221101,0.8789576635683115
3.875,0.02,0.18317580380682458,0.00016228682261209068,0.3960916645883693,0.8805068531909012
4.0,0.02,0.18164542317887214,0.00015495262965168626,0.3924124045404012,0.8819868764936921
4.125,0.02,0.18018403542788233,0.00014815597458609896,0.3887828453379056,0.8834028413018808
4.25,0.02,0.17878666345357636,0.00014184285861029418,0.3852006628272612,0.8847593365172447
4.375,0.02,0.17744881956872507,0.00013596619129373395,0.3816637082558874,0.8860604988805731
4.5,0.02,0.1761664482915899,0.0001304845769499541,0.3781699857608235,0.8873100689975449
4.625,0.02,0.17493587210918565,0.00012536158991903666,0.37471764048019923,0.8885114393021062
4.75,0.02,0.17375374824467435,0.00012056500809026737,0.3713049435171516,0.8896676948930285
4.875,0.02,0.17261702963280404,0.00011606626614451238,0.3679302813144754,0.8907816486986203
5.0,0.02,0.17152293232196753,0.00011183994088550607,0.36459214470316925,0.8918558717477769
5.125,0.02,0.17046890659741287,0.00010786334870005662,0.3612891200749364,0.8928927194166377
5.25,0.02,0.16945261223985356,0.000104116185595965,0.35801988099936755,0.8938943542290281
5.375,0.02,0.1684718967192017,0.00010058023166183762,0.3547831810452815,0.8948627657658003
5.5,0.02,0.16752477622889303,9.723909218477993e-05,0.3515778471776818,0.8957997880971682
5.625,0.02,0.1666094189537224,9.407797934897494e-05,0.3484027739371465,0.8967071151086492
5.75,0.02,0.16572413037208414,9.108352221056777e-05,0.3452569181436124,0.8975863140144386
5.875,0.02,0.16486734024370786,8.82436039009967e-05,0.3421392941568732,0.8984388373131927
6.0,0.02,0.1640375910947937,8.55472198787407e-05,0.3390489695724978,0.899266033395249
6.125,0.02,0.16323352797865165,8.29843552161478e-05,0.3359850613354641,0.9000691559806097
6.25,0.02,0.16245388935993138,8.054587741541251e-05,0.3329467322048441,0.9008493725376856
6.375,0.02,0.16169749897126703,7.822344289555995e-05,0.3299331875416181,0.9016077718112749
6.5,0.02,0.16096325852569393,7.600941496002635e-05,0.32694367237759686,0.9023453705687579
6.625,0.02,0.1602501411772536,7.389679177215962e-05,0.32397746873913325,0.9030631196581869
