y,u_x0.00,v_x0.00,T_x0.00,u_x0.40,v_x0.40,T_x0.40,u_x1.00,v_x1.00,T_x1.00,u_x5.00,v_x5.00,T_x5.00,u_x10.00,v_x10.00,T_x10.00,u_x16.00,v_x16.00,T_x16.00
0.02375,1.0,0.0,0.0,1.1296819457735499,0.005998506464043496,0.011741295232499472,1.0862429096980852,0.001893748603419649,0.03262144196834105,0.9370847224634832,-0.0001764054976255878,0.17338713492167615,0.8301063941025513,-0.00018271929733984827,0.28463888229587503,0.7276645303330989,-0.00014350558427745863,0.3797109583984581
0.025,1.0,0.0,0.0,1.1425090409253542,0.005902273803999874,0.008562208124430433,1.11284430605342,0.0019439024703649034,0.02485197201913261,0.9714563004036272,-0.00017232506356037634,0.14978299895588287,0.8604914171145617,-0.00018070421021565232,0.2586287094819579,0.7539662219147591,-0.00014183254382846628,0.3547956292441166
0.02625,1.0,0.0,0.0,1.153344266804278,0.005768803206865057,0.006188906346295506,1.136813029678127,0.001976123255557332,0.018773185723533925,1.0042241999204278,-0.00016743456642939278,0.12857022294899395,0.8894698987596985,-0.00017774302796961044,0.23420936840055412,0.7790269037929028,-0.00013942499031343005,0.33100959990000683
0.0275,1.0,0.0,0.0,1.1624628041364433,0.005602171043681812,0.004432119898445143,1.1583124362971866,0.001990258783120644,0.014058761429801588,1.0353760959614922,-0.0001618092398159118,0.10965542108588411,0.9170315331195903,-0.00017387506031472312,0.21138845005092474,0.8028408965691366,-0.0001363146671703286,0.30838301070816065
0.02875,1.0,0.0,0.0,1.1701084370308983,0.005406218400626119,0.0031432413833665882,1.1775108162743575,0.001986442784445539,0.010434778491595157,1.0649004920355376,-0.00015552199719390903,0.09292246061450533,0.9431662903746427,-0.00016914081245581668,0.1901622296907742,0.8254026635917743,-0.00013253401981956316,0.2869412953384047
0.03,1.0,0.0,0.0,1.1764957053463136,0.0051845119704845306,0.0022064807288768593,1.1945781203392591,0.001965057328666944,0.007674095698139318,1.0927867384356558,-0.00014864295997336725,0.0782368780030658,0.9678644527647933,-0.0001635819335394733,0.17051622229732458,0.8467068316714295,-0.0001281161742600527,0.2667052745532759
0.03125,1.0,0.0,0.0,1.1818122652033745,0.004940323429877437,0.0015323381227229805,1.209683041078797,0.0019266941772395063,0.005590465212990451,1.1190250402288318,-0.0001412390175803545,0.06545059603831294,0.9911166494580834,-0.00015724116230412844,0.15242597283071505,0.8667482112237243,-0.00012309491358252015,0.247691327057722
0.0325,1.0,0.0,0.0,1.186221326076101,0.004676622902776341,0.0010522167972826194,1.2229904847455124,0.0018721167902387595,0.004032784260608276,1.1436064552005545,-0.0001333734306336176,0.0544066974948384,1.0129138901794545,-0.0001501622704406407,0.1358580608940496,0.8855218157643473,-0.00011750465235392728,0.22991163310268856
0.03375,1.0,0.0,0.0,1.1898640689859696,0.004396082893405699,0.0007140095630128048,1.2346594430558349,0.0018022243349359013,0.002879721896895777,1.1665228821875182,-0.00012510548754790393,0.04494403260104418,1.0332475974622173,-0.00014239000394165201,0.12077129294631285,0.9030228806826964,-0.00011138040904501349,0.2133744848271044
0.035,1.0,0.0,0.0,1.1928619786138888,0.004101089764182561,0.0004785095534462802,1.2448412548966725,0.00171801868610594,0.002034846011533338,1.1877670404742424,-0.00011649022431234815,0.03690147369852114,1.052109637395087,-0.00013397002272290496,0.10711804991355835,0.9192468812217846,-0.0001047577764365026,0.19808465572279096
